GE_latitude,GE_longitude,GE_City,GE_State,GE_CityState,Zip,GE_Count,Qtr
-27.4171391,152.9497833,Keperra,Australia,"Keperra, Australia",4054,2,Q1-2016
-23.3742199,150.5036469,Rockhampton,Australia,"Rockhampton, Australia",4700,1,
-27.4756203,153.0153809,South Brisbane,Australia,"South Brisbane, Australia",4101,1,
43.9057007,-78.8237991,Oshawa,Canada,"Oshawa, Canada",L1G 2B9,1,Q1-2016
43.8841515,125.3036804,Changchun City,China,"Changchun City, China",130000,2,Q1-2016
28.1961498,112.9726791,Changsha,China,"Changsha, China",410000,1,Q1-2016
30.5785007,103.9469986,Chengdu,China,"Chengdu, China",610000,2,Q1-2016
29.5509491,106.5193481,Chongqing,China,"Chongqing, China",400037,1,Q1-2016
37.4424706,116.2857285,Dezhou,China,"Dezhou, China",253009,1,Q1-2016
23.1133709,113.2552338,Guangzhou,China,"Guangzhou, China",510000,1,Q1-2016
22.3361568,114.1869659,Hongkong,China,"Hongkong, China",999077,1,Q1-2016
35.87714,119.979332,Jiaonan,China,"Jiaonan, China",266400,1,Q1-2016
28.4514275,117.9561539,Shangrao,China,"Shangrao, China",333105,1,Q1-2016
29.9945698,120.5763321,Shaoxing,China,"Shaoxing, China",312000,1,Q1-2016
31.3092518,120.6131973,Suzhou,China,"Suzhou, China",215631,1,Q1-2016
34.7640305,113.6594086,Zhengzhou,China,"Zhengzhou, China",450000,1,Q1-2016
27.6983795,106.9104767,Zunyi,China,"Zunyi, China",563000,1,Q1-2016
39.9065704,116.3876495,Beijing,China,"Beijing, China",100000,11,
35.0371017,104.3860016,Dingxi,China,"Dingxi, China",748100,1,
30.2526245,120.1650772,Hangzhou,China,"Hangzhou, China",310000,1,
35.4040108,116.5893707,Jining,China,"Jining, China",272400,1,
36.0699615,103.7502136,Lanzhou,China,"Lanzhou, China",730000,1,
30.3020935,108.9303207,Lichuan,China,"Lichuan, China",445400,1,
28.68507,115.8953094,Nanchang,China,"Nanchang, China",330000,1,
32.0497818,118.7659836,Nanjing,China,"Nanjing, China",210000,1,
25.4506302,119.0219803,Putian,China,"Putian, China",351254,1,
36.1104889,120.35569,Qingdao,China,"Qingdao, China",266000,1,
31.2241459,121.5161362,Shanghai,China,"Shanghai, China",200030,2,
35.0753784,117.1615524,Tengzhou,China,"Tengzhou, China",277500,1,
36.8028908,118.0453491,Zibo,China,"Zibo, China",255025,1,
60.2893715,25.0295601,Vantaa,Finland,"Vantaa, Finland",00029,1,Q1-2016
48.9045982,2.5545299,Clichy,France,"Clichy, France",92110,1,Q1-2016
45.7812004,3.1368799,Clermont Ferrand,France,"Clermont Ferrand, France",63003,1,
52.5014076,13.4023285,Berlin,Germany,"Berlin, Germany",13353,1,
35.3292999,25.1240997,Hrakleio,Greece,"Hrakleio, Greece",71201,1,
47.1208496,17.9503708,Veszprem,Hungary,"Veszprem, Hungary",Veszprem 8200,1,
13.0503302,80.188591,Chennai,India,"Chennai, India",Chennai 600100,1,Q1-2016
17.4114094,78.4847794,Hyderabad,India,"Hyderabad, India",Hyderabad 500035,1,Q1-2016
23.09589,80.0495834,Jabalpur,India,"Jabalpur, India",Jabalpur 482003,1,Q1-2016
21.1849899,72.8358994,Surat,India,"Surat, India",Surat 395002,1,Q1-2016
8.5051098,76.9514084,Trivandrum,India,"Trivandrum, India",Trivandrum 695607,1,Q1-2016
9.9692497,76.2889786,Ernakulam,India,"Ernakulam, India",Ernakulam 683572,1,
28.4872093,77.4953384,Greater Noida,India,"Greater Noida, India",Greater Noida 201306,1,
17.4114094,78.4847794,Hyderabad,India,"Hyderabad, India",Hyderabad 500032,2,
22.6882191,76.0266113,Indore,India,"Indore, India",Indore 452001,1,
18.93013,72.8300934,Mumbai,India,"Mumbai, India",Mumbai 400062,1,
10.7207098,79.1390533,Thanjavur,India,"Thanjavur, India",Thanjavur 613001,1,
-6.2255058,106.9730682,Bekasi,Indonesia,"Bekasi, Indonesia",Bekasi 17144,1,Q1-2016
-6.1714902,106.8275223,Jakarta,Indonesia,"Jakarta, Indonesia",Jakarta 12980,1,Q1-2016
-7.2432561,112.7413788,Surabaya,Indonesia,"Surabaya, Indonesia",Surabaya 60252,3,
32.3667679,130.1030121,Amakusa ,Japan,"Amakusa , Japan",amakusashi 8630013,1,Q1-2016
32.4284096,131.6552124,Hiyuuga ,Japan,"Hiyuuga , Japan",Hiyuugashi 8830021,1,Q1-2016
35.7686501,139.6712494,Itabashi,Japan,"Itabashi, Japan",Itabashiku 1750083,1,Q1-2016
34.4785652,135.4254761,Izumi,Japan,"Izumi, Japan",Kitaaidugunkitaaidum 9696186,1,Q1-2016
35.3231506,135.4155884,Kyoto,Japan,"Kyoto, Japan",Kyoutoshinakagyouk 6048845,1,Q1-2016
33.8381042,132.7719116,Matsuyama,Japan,"Matsuyama, Japan",Matsuyamashi 7900802,1,Q1-2016
34.6775208,135.5129089,Osaka,Japan,"Osaka, Japan",Oosakashi 5330022,1,Q1-2016
35.9569016,139.3890076,Sakado,Japan,"Sakado, Japan",Sakadoshi 3500262,1,Q1-2016
34.3355217,134.047699,Takamatsu,Japan,"Takamatsu, Japan",Takamatsushi 7600065,1,Q1-2016
43.7711792,142.3688202,Asahikawa,Japan,"Asahikawa, Japan",Asahikawashi 0788244,2,
35.6422997,139.7486572,Chiyoda,Japan,"Chiyoda, Japan",Chiyodaku 1020074,1,
35.6610489,139.3341675,Hachioji,Japan,"Hachioji, Japan",Hachiouzishi 1920903,1,
34.7194328,137.7301025,Hamamatsu,Japan,"Hamamatsu, Japan",Hamamatsushi 4308558,1,
40.9166794,140.9639282,Hiranai,Japan,"Hiranai, Japan",Higashitsugarugunhi 0393321,1,
40.5979729,140.4764862,Hirosaki,Japan,"Hirosaki, Japan",368045,1,
36.2816467,139.0772705,Hiroshimashiminamiku,Japan,"Hiroshimashiminamiku, Japan",7340004,1,
35.6670265,139.4833374,Fuchu,Japan,"Fuchu, Japan",7260002,1,
35.3401299,139.4935455,Fujisawa,Japan,"Fujisawa, Japan",2510042,1,
35.7195625,139.9333954,Ichikawa,Japan,"Ichikawa, Japan",2720021,1,
38.9240646,141.1363678,Ichinoseki,Japan,"Ichinoseki, Japan",293405,1,
43.1982765,141.7635803,Iwamizawa,Japan,"Iwamizawa, Japan",680044,1,
31.8199997,130.8300018,Kirishima,Japan,"Kirishima, Japan",8994352,1,
35.6677094,139.8200989,Koto,Japan,"Koto, Japan",Koutouku 1358550,1,
32.788517,130.7148895,Kumamoto,Japan,"Kumamoto, Japan",Kumamotoshi 8610136,2,
36.2324486,137.9669647,Matsumoto,Japan,"Matsumoto, Japan",Matsumotoshi 3908505,1,
37.1857986,139.5160065,Minamiaizu-Gun,Japan,"Minamiaizu-Gun, Japan",Minamiaidugun 9670006,1,
35.9500008,136.1925354,Sabae,Japan,"Sabae, Japan",Sabaeshi 9160025,1,
40.5654182,141.2707672,Gonohe,Japan,"Gonohe, Japan",Aomori 391517,1,
34.3355217,134.047699,Takamatsu,Japan,"Takamatsu, Japan",Takamatsushi 7618076,1,
36.3262215,139.0143585,Takasaki,Japan,"Takasaki, Japan",Takasakishi 3700001,1,
35.5499992,140.3670044,Togane ,Japan,"Togane , Japan",Touganeshi 2838650,1,
34.7191086,136.5168304,Tsu,Japan,"Tsu, Japan",Tsushi 5140114,1,
35.1529388,126.9051514,Gwangju,"Korea, Republic of","Gwangju, Korea, Republic of",Gwangju 503-715,1,Q1-2016
49.5998993,6.1177201,Luxembourg,Luxembourg,"Luxembourg, Luxembourg",Luxembourg 2763,1,Q1-2016
51.2533989,22.5515995,Lublin,Poland,"Lublin, Poland",Lublin 20 954,1,
52.2287483,21.0062504,Warsaw,Poland,"Warsaw, Poland",Warszawa 01 138,1,
13.5959339,100.7088013,Samutprakarn,Thailand,"Samutprakarn, Thailand",Samutprakarn 10270,2,Q1-2016
13.7533503,100.5048294,Bangkok,Thailand,"Bangkok, Thailand",Bangkok 10250,1,
13.5959339,100.7088013,Samutprakarn,Thailand,"Samutprakarn, Thailand",Bangplee Samuprakarn 10540,1,
39.9429016,32.8605003,Ankara,Turkey,"Ankara, Turkey",Ankara 06xxx,1,Q1-2016
40.5500984,34.9548187,Corum,Turkey,"Corum, Turkey",Corum 19000,1,Q1-2016
51.4302406,-0.1657,Tooting,United Kingdom,"Tooting, United Kingdom",SW17 0QT,1,
10.7782297,106.70327,Ho Chi Minh City,Vietnam,"Ho Chi Minh City, Vietnam",700000,1,
41.8972511,-84.0362473,Adrian,MI,"Adrian, MI",,1,
42.6515503,-73.7552109,Albany,NY,"Albany, NY",,1,
31.3126602,-92.4456787,Alexandria,LA,"Alexandria, LA",,1,
43.0688705,-94.2274933,Algona,IA,"Algona, IA",,1,
27.7505798,-98.065712,Alice,TX,"Alice, TX",,1,
34.6378288,-99.3332596,Altus,OK,"Altus, OK",,1,
42.9670105,-74.1922226,Amsterdam,NY,"Amsterdam, NY",,1,
31.3195896,-86.4954224,Andalusia,AL,"Andalusia, AL",,1,
40.1021614,-85.678688,Anderson,IN,"Anderson, IN",,1,
34.5004387,-82.6495819,Anderson,SC,"Anderson, SC",,1,
41.1194115,-73.7083817,Armonk,NY,"Armonk, NY",,1,
39.8020287,-105.0878372,Arvada,CO,"Arvada, CO",,1,
35.5984612,-82.5531387,Asheville,NC,"Asheville, NC",,1,
33.4790916,-81.9753113,Augusta,GA,"Augusta, GA",,1,
30.2675896,-97.7429886,Austin,TX,"Austin, TX",,1,
25.9686108,-80.1446381,Aventura,FL,"Aventura, FL",,1,
41.8108788,-72.8296509,Avon,CT,"Avon, CT",,1,
30.4433403,-91.1869888,Baton Rouge,LA,"Baton Rouge, LA",,1,
30.0861492,-94.1015778,Beaumont,TX,"Beaumont, TX",,1,
40.6962204,-80.3024368,Beaver,PA,"Beaver, PA",,1,
28.4020405,-97.7493591,Beeville,TX,"Beeville, TX",,1,
40.7951508,-74.1493988,Belleville,NJ,"Belleville, NJ",,1,
36.8575096,-88.3507614,Benton,KY,"Benton, KY",,1,
33.4015388,-86.9544067,Bessemer,AL,"Bessemer, AL",,1,
42.5477409,-70.8789825,Beverly,MA,"Beverly, MA",,1,
33.5206795,-86.8117599,Birmingham,AL,"Birmingham, AL",,4,
40.7501297,-92.4136505,Bloomfield,IA,"Bloomfield, IA",,1,
41.0243607,-80.6597824,Boardman,OH,"Boardman, OH",,1,
42.3586617,-71.0567398,Boston,MA,"Boston, MA",,1,
41.1542587,-87.877861,Bourbonnais,IL,"Bourbonnais, IL",,1,
36.9946213,-86.4455795,Bowling Green,KY,"Bowling Green, KY",,2,
39.5251694,-87.1186981,Brazil,IN,"Brazil, IN",,1,
41.1604996,-79.0801773,Brookville,PA,"Brookville, PA",,1,
39.9208603,-105.0705795,Broomfield,CO,"Broomfield, CO",,1,
30.6709805,-96.3704224,Bryan,TX,"Bryan, TX",,1,
42.8854408,-78.8784637,Buffalo,NY,"Buffalo, NY",,2,
40.0247803,-81.5901108,Cambridge,OH,"Cambridge, OH",,1,
34.7257004,-77.3440933,Camp Lejeune,NC,"Camp Lejeune, NC",,1,
32.987999,-96.9005737,Carrollton,TX,"Carrollton, TX",,1,
35.2228584,-80.8379593,Charlotte,NC,"Charlotte, NC",,2,
35.0464401,-85.3094635,Chattanooga,TN,"Chattanooga, TN",,1,
37.3768311,-77.5082474,Chesterfield,VA,"Chesterfield, VA",,1,
38.819519,-102.3480835,Cheyenne Wells,CO,"Cheyenne Wells, CO",,1,
39.7319984,-121.84198,Chico,CA,"Chico, CA",,1,
34.1945686,-90.5649185,Clarksdale,MS,"Clarksdale, MS",,1,
36.5307503,-87.3597717,Clarksville,TN,"Clarksville, TN",,1,
32.1612892,-81.9045105,Claxton,GA,"Claxton, GA",,1,
39.9819412,-75.8206329,Coatesville,PA,"Coatesville, PA",,1,
35.2561302,-82.193718,Columbus,NC,"Columbus, NC",,1,
39.9619904,-83.0027466,Columbus,OH,"Columbus, OH",,1,
40.8471298,-73.2914429,Commack,NY,"Commack, NY",,2,
27.7964096,-97.4035568,Corpus Christi,TX,"Corpus Christi, TX",,1,
41.7528114,-124.2004623,Crescent City,CA,"Crescent City, CA",,1,
48.6366615,-112.3326263,Cut Bank,MT,"Cut Bank, MT",,1,
29.97579,-95.6779175,Cypress,TX,"Cypress, TX",,1,
32.7781487,-96.7954025,Dallas,TX,"Dallas, TX",,1,
44.0321083,-69.5299988,Damariscotta,ME,"Damariscotta, ME",,1,
26.06567,-80.2349472,Davie,FL,"Davie, FL",,1,
41.2862396,-84.362381,Defiance,OH,"Defiance, OH",,1,
39.7400093,-104.9923019,Denver,CO,"Denver, CO",,1,
36.0764389,-87.387413,Dickson,TN,"Dickson, TN",,2,
39.1580315,-75.5247269,Dover,DE,"Dover, DE",,1,
39.0278397,-77.3971786,Dulles,VA,"Dulles, VA",,1,
35.9954185,-78.8964386,Durham,NC,"Durham, NC",,2,
34.9967117,-85.2437668,East Ridge,TN,"East Ridge, TN",,1,
38.7738991,-76.0747528,Easton,MD,"Easton, MD",,2,
42.5114288,-84.6558304,Eaton Rapids,MI,"Eaton Rapids, MI",,2,
35.6548996,-97.4781265,Edmond,OK,"Edmond, OK",,1,
31.7591591,-106.4874878,El Paso,TX,"El Paso, TX",,2,
42.1294403,-80.0852432,Erie,PA,"Erie, PA",,1,
38.8417892,-77.3088684,Fairfax,VA,"Fairfax, VA",,1,
40.0587616,-95.6011505,Falls City,NE,"Falls City, NE",,1,
41.7121201,-72.8385696,Farmington,CT,"Farmington, CT",,1,
35.0544891,-78.8775787,Fayetteville,NC,"Fayetteville, NC",,2,
31.7149696,-83.2522583,Fitzgerald,GA,"Fitzgerald, GA",,1,
38.6817513,-121.1628265,Folsom,CA,"Folsom, CA",,1,
35.0201912,-114.5979919,Fort Mohave,AZ,"Fort Mohave, AZ",,1,
35.3846016,-94.4213028,Fort Smith,AR,"Fort Smith, AR",,1,
32.7509499,-97.3308563,Fort Worth,TX,"Fort Worth, TX",,1,
41.1556816,-83.4123535,Fostoria,OH,"Fostoria, OH",,1,
40.2821312,-86.5107193,Frankfort,IN,"Frankfort, IN",,1,
41.4975586,-87.8616867,Frankfort,IL,"Frankfort, IL",,1,
38.1950684,-84.8786926,Frankfort,KY,"Frankfort, KY",,1,
40.0960808,-98.9542313,Franklin,NE,"Franklin, NE",,1,
